pop1 ecotype1 pop2 ecotype2 region1 region2 geography_strict geography_relaxed group_strict group_relaxed intercept recomb_rate ds gene_count
boot lake sk marine bc ns allo allo allo_D allo_D -4.11662005811802 0.0193068877436111 -0.120332722082832 -0.0779892853844724
boot lake sr marine bc ns allo allo allo_D allo_D -4.44520376116127 0.0222709245023495 0.520046698976801 -0.0857331209792017
boot lake sr white bc ns allo allo allo_D allo_D -4.28748728643961 0.00978496433327192 0.415240826468084 -0.0487153441329659
boot stream al marine bc ns allo allo allo_D allo_D -2.6519381977916 -0.0217281791204717 -1.71606589190379 0.025829793831365
boot stream cl marine bc ns allo allo allo_D allo_D -3.72926135200656 0.0123132034904888 -0.735164228486647 0.0682848401000194
boot stream cl white bc ns allo allo allo_D allo_D -2.70143090541166 -0.0893861301284181 -1.62497193728027 0.0665469618344638
boot stream constance lake bc sl allo allo allo_D allo_D -3.50532245689545 -0.378773452316369 -1.0574822360074 -0.0965200756691569
boot stream constance stream bc sl allo allo allo_S allo_S -4.22671374833392 -0.348187786695975 -0.158193008947503 -0.152742945014804
boot stream cp marine bc ns allo allo allo_D allo_D -2.00100698439593 -0.134634595785509 -2.03484865115168 -0.00793425814586667
boot stream geneva lake bc sl allo allo allo_D allo_D -2.41364704089907 -0.256506632006328 -3.16921736315605 -0.100505216109774
boot stream geneva stream bc sl allo allo allo_S allo_S -3.03490421581697 -0.00870655442299628 -1.78949074683743 -0.469878312855957
boot stream joes lake bc bc allo para allo_D para_D -1.65335634698499 -0.213060016193343 -3.59746484199392 -0.127588229622315
boot stream joes stream bc bc allo para allo_S para_S -2.23493700066918 -0.0469337953011739 -4.34509449224363 -0.0160543736917726
boot stream ln marine bc ns allo allo allo_D allo_D -3.20736643041018 -0.17555775726009 -0.502259379689427 0.00300925199950491
boot stream mh marine bc ns allo allo allo_D allo_D -2.49416982555348 0.00881375764821812 -1.84830828032383 0.00573852505015846
boot stream mh white bc ns allo allo allo_D allo_D -2.56018197503677 0.0186657210257645 -1.79586773750733 -0.0201181487203337
boot stream misty lake bc bc allo para allo_D para_D -4.10906969589558 -0.18673513256046 -0.290798077976642 0.0250953617705291
boot stream misty stream bc bc allo para allo_S para_S -2.76610122406078 -0.302677334027804 -1.50154147702308 -0.0194046998037996
boot stream roberts lake bc bc allo para allo_D para_D -4.72719875796148 -0.201348981544196 0.50492082594119 -0.0100916813109049
boot stream roberts stream bc bc allo para allo_S para_S -4.53706172181292 -0.605036803407311 0.920571942200946 -0.0608802510415426
boot stream sk marine bc ns allo allo allo_D allo_D -2.87928810479342 0.0317817548849515 -1.49383990108703 -0.0104491030576076
boot stream sr marine bc ns allo allo allo_D allo_D -2.34858232613667 -0.225854512022254 -1.03018782773352 -0.0292627273347686
boot stream sr white bc ns allo allo allo_D allo_D -2.77619933747238 -0.0153995918704084 -1.62516462946576 0.0454023495439868
cl marine cl white ns ns para para para_D para_D -5.38551455147409 -0.0148061382867649 -0.3411535130882 -0.0161332489013715
cl marine cp marine ns ns allo para allo_S para_S -6.31545994686991 -0.029062697801764 1.07193645433253 -0.170861941853761
cl marine ln marine ns ns allo para allo_S para_S -5.59721826367147 -0.0608555133942445 -0.086426238033942 0.030367805732164
cl marine mh marine ns ns allo para allo_S para_S -6.39948513894315 0.00610576797662847 -0.250221340686509 0.104910381371172
cl marine mh white ns ns allo para allo_D para_D -5.71547749081776 0.0110157538887468 0.133977387460452 0.0158186815373672
cl marine sk marine ns ns allo para allo_S para_S -7.45529176916568 0.0305947063735177 0.611875958316525 0.131351518673112
cl marine sr marine ns ns allo para allo_S para_S -5.12339478233224 0.0105493934163885 -0.977516876731034 -0.0106472633823136
cl marine sr white ns ns allo para allo_D para_D -4.71682942878087 -0.138993508953992 -0.294025457385772 -0.0977652486056383
cl white cp marine ns ns allo para allo_D para_D -7.65996364095402 -0.0649878748475024 1.52152148713689 0.0815430544597338
cl white ln marine ns ns allo para allo_D para_D -4.94624115326634 0.003759285277392 -1.0251974608909 0.06433124417166
cl white mh marine ns ns allo para allo_D para_D -7.07867221785066 -0.0656862020079535 0.65628594987707 0.0874717168513565
cl white mh white ns ns allo para allo_S para_S -5.41557099879875 0.0221317464710934 0.00941047870187959 -0.322183666394627
cl white sk marine ns ns allo para allo_D para_D -7.32250659809829 0.00764302636176932 1.68144522939607 0.0473276403843302
cl white sr marine ns ns allo para allo_D para_D -7.46069510495877 0.00555663493535081 0.46896816715524 0.152810075076077
cl white sr white ns ns allo para allo_S para_S -5.14821578202114 -0.232917954113123 -0.8265993509793 0.00054559874788648
constance lake al marine sl ns allo allo allo_D allo_D -4.24739423696459 -0.00339918720111637 0.124163813358892 -0.113294198182361
constance lake cl marine sl ns allo allo allo_D allo_D -6.5579242705722 -0.0068666390895677 2.01727449348435 0.0676619644125917
constance lake cl white sl ns allo allo allo_D allo_D -4.35842098730725 0.00467453339808747 0.202271333816359 -0.0581812096628757
constance lake constance stream sl sl para para para_D para_D -4.82556341929453 0.0389259669184911 -0.288474019471668 -0.269172798007078
constance lake cp marine sl ns allo allo allo_D allo_D -3.62926786564491 -0.0439673783193874 -0.510642088761642 -0.0964451164551797
constance lake geneva lake sl sl allo para allo_S para_S -6.42083442762056 0.0156140025874716 1.42753195839002 -0.01449386942145
constance lake geneva stream sl sl allo para allo_D para_D -6.50702282784007 0.0122757084938121 1.56619612825151 -0.0481988309577316
constance lake joes lake sl bc allo allo allo_S allo_S -4.66471357694623 -0.0632457890280331 -0.170470956292191 -0.0654088072585625
constance lake joes stream sl bc allo allo allo_D allo_D -6.60049592482211 -0.0560716818613678 1.28441509405601 -0.0349453436369689
constance lake ln marine sl ns allo allo allo_D allo_D -4.67352289083947 -0.0165485064187922 0.897376639220184 -0.180891792086026
constance lake mh marine sl ns allo allo allo_D allo_D -6.70576204564864 -0.0114937087713709 1.90109495872862 0.0759090228666323
constance lake mh white sl ns allo allo allo_D allo_D -6.87880209626857 -0.0869770715212375 1.94637687045737 0.120060400295247
constance lake misty lake sl bc allo allo allo_S allo_S -3.88226448734436 -0.319663328101313 0.198748201659312 -0.0755289320080537
constance lake misty stream sl bc allo allo allo_D allo_D -4.10696546721022 -0.330268774430041 0.362660425755053 -0.0875270476494962
constance lake roberts lake sl bc allo allo allo_S allo_S -3.5583312602374 -0.160543470526886 -0.555485097405284 -0.0052258730235651
constance lake roberts stream sl bc allo allo allo_D allo_D -3.34467635212128 -0.172705693921276 -1.4215229635017 0.0959063941121412
constance lake sk marine sl ns allo allo allo_D allo_D -5.91466019090074 -0.000357971166559505 1.3332552660289 0.0029538499805778
constance lake sr marine sl ns allo allo allo_D allo_D -5.17216675967407 -0.0449931304881857 1.11707873872104 -0.0270354399555612
constance lake sr white sl ns allo allo allo_D allo_D -4.86648763764351 -0.0102665760505212 1.08551882013256 -0.15956450438126
constance stream al marine sl ns allo allo allo_D allo_D -3.47264787794875 0.00292525026284002 -0.498089536171064 -0.131437038164791
constance stream cl marine sl ns allo allo allo_D allo_D -6.23531252725456 -0.010505378982753 1.77952215068482 0.0648167757528223
constance stream cl white sl ns allo allo allo_D allo_D -3.88159586026884 0.00904055416952377 -0.226607880719893 -0.0949473223364433
constance stream cp marine sl ns allo allo allo_D allo_D -3.351035449126 -0.0330162937824796 -0.845144835441138 -0.10121737968132
constance stream geneva lake sl sl allo para allo_D para_D -5.13508178093131 0.0133098048424119 0.320029068695115 -0.144495360118187
constance stream geneva stream sl sl allo para allo_S para_S -5.2313191667254 0.0261018689026642 0.163268680189366 -0.0908448360438426
constance stream joes lake sl bc allo allo allo_D allo_D -4.668901724971 -0.131090498312259 -0.0196796141069672 -0.0894219042250051
constance stream joes stream sl bc allo allo allo_S allo_S -6.02521258385711 -0.110479242887174 0.879525873588539 -0.0659930144852599
constance stream ln marine sl ns allo allo allo_D allo_D -3.61012506637795 -0.0262870574459987 -0.249038706765393 -0.152949409667135
constance stream mh marine sl ns allo allo allo_D allo_D -5.75463932585926 -0.0259243648470015 1.26574683064811 0.0539883540496707
constance stream mh white sl ns allo allo allo_D allo_D -6.33462124094593 -0.126996795137964 1.44243399648806 0.109838939382076
constance stream misty lake sl bc allo allo allo_D allo_D -4.1092544496908 -0.478830585685787 0.608494697765455 -0.105062330616743
constance stream misty stream sl bc allo allo allo_S allo_S -4.98648990014939 -0.354431463430317 0.946860154433693 -0.00407514797379141
constance stream roberts lake sl bc allo allo allo_D allo_D -4.26480875906484 -0.133712001278861 -0.210747565606507 0.0123479995050526
constance stream roberts stream sl bc allo allo allo_S allo_S -5.05544755130996 -0.225392742855546 0.0873418709462951 0.113295510292623
constance stream sk marine sl ns allo allo allo_D allo_D -4.753364702614 0.0160247667978865 0.405269558266709 -0.0173157724538004
constance stream sr marine sl ns allo allo allo_D allo_D -4.88477882719331 -0.0426144184845825 0.927758004677662 -0.0310746917215564
constance stream sr white sl ns allo allo allo_D allo_D -4.13580580320784 -0.0174294392873839 0.610193422143061 -0.21543124170738
cp marine ln marine ns ns allo para allo_S para_S -5.50765133414098 0.0281581239868012 -1.11885203569549 0.06134136427501
cp marine mh marine ns ns allo para allo_S para_S -4.6269029865101 0.0452203509050123 -0.535450122767059 -0.857374196147648
cp marine mh white ns ns allo para allo_D para_D -5.09677549673521 -0.183694240906832 0.27814480724644 -0.0642266096772049
cp marine sk marine ns ns allo para allo_S para_S -7.8035969942111 -0.0996926827404098 2.65511236325686 -0.330082113964578
cp marine sr marine ns ns allo para allo_S para_S -5.76615232139611 0.0305273566951467 -0.300179120301738 -0.0532117639145413
cp marine sr white ns ns allo para allo_D para_D -7.13291412945003 -0.279004169956774 0.622467291135258 0.184994998120126
cr stream al marine or ns allo allo allo_D allo_D -3.37993825318443 -0.261402171085822 0.152415502354899 0.0122483121642683
cr stream bea lake or al allo allo allo_D allo_D -3.88626486617282 -0.131171270810646 -0.0407147045057831 -0.0713164377401034
cr stream boot lake or bc allo allo allo_D allo_D -4.28764503321327 -0.35459431892355 0.559857733559878 -0.0499533280394209
cr stream boot stream or bc allo allo allo_S allo_S -4.26335091866475 -0.0518015721688664 0.676778548420481 -0.316723738479345
cr stream cl marine or ns allo allo allo_D allo_D -3.63395354500526 -0.225612639544851 -0.0356237349109019 0.100054712407162
cr stream cl white or ns allo allo allo_D allo_D -3.10873182353878 -0.238434650932517 -0.161981535582924 0.0118715918252426
cr stream constance lake or sl allo allo allo_D allo_D -3.3030780729461 -0.297715162123115 -0.240468099406101 -0.0910932238378837
cr stream constance stream or sl allo allo allo_S allo_S -2.29886779101721 -0.275439910040662 -1.29708769380049 -0.12281822586675
cr stream cp marine or ns allo allo allo_D allo_D -2.43915728042269 -0.441074384310795 -0.407114996551939 0.0261780343314946
cr stream cs marine or or allo para allo_D para_D -3.68773409867163 -0.461882367836333 0.315181243071868 -0.178301531082093
cr stream denmark marine or ne allo allo allo_D allo_D -4.39460978773485 -0.102337724503537 0.762703145651064 -0.0483289784741226
cr stream geneva lake or sl allo allo allo_D allo_D -2.46235804090031 -0.16456144471568 -1.07936319307382 -0.197984272014313
cr stream geneva stream or sl allo allo allo_S allo_S -1.79142114752893 -0.265920942016466 -1.671732586848 -0.131417419299013
cr stream hadsten lake or ne allo allo allo_D allo_D -3.00690653927188 -0.331474645966566 0.0754005512879542 -0.370675848159543
cr stream hald lake or ne allo allo allo_D allo_D -3.26018124844093 -0.227754010173613 0.049471873160614 -0.226569870501717
cr stream japan japansea or jp allo allo allo_D allo_D -3.29178164661428 -0.128791309955717 -0.32015090408707 -0.283163660529164
cr stream japan marine or jp allo allo allo_D allo_D -2.71467757857857 -0.863564576816593 -0.610999023001591 -0.0968540205395773
cr stream joes lake or bc allo allo allo_D allo_D -4.96874044703886 -0.198607470357829 1.25077114944846 -0.125827301991688
cr stream joes stream or bc allo allo allo_S allo_S -4.34825749996057 -0.144362376194872 0.778916783297112 -0.208116943519255
cr stream litcampbell marine or bc allo allo allo_D allo_D -2.26014449948876 -0.286878625900847 -1.04304620446217 -0.0335043303227988
cr stream ln marine or ns allo allo allo_D allo_D -3.02689563866673 -0.290064286795959 0.131083591281535 -0.0320405595268577
cr stream mariager marine or ne allo allo allo_D allo_D -3.40649313189744 -0.294740891704748 0.169535839338661 -0.179548187832843
cr stream mh marine or ns allo allo allo_D allo_D -3.91948214684983 -0.172963893085333 0.541393611688601 0.00151548163964421
cr stream mh white or ns allo allo allo_D allo_D -3.89298339829216 -0.130323743654035 0.669168643020252 -0.0458178407264394
cr stream misty lake or bc allo allo allo_D allo_D -4.75432529456134 -0.472083591120652 0.413452932477568 0.00129839114012912
cr stream misty stream or bc allo allo allo_S allo_S -4.93289189403016 -0.247763644955695 0.461959599046911 -0.0767412149314438
cr stream ms marine or or allo para allo_D para_D -3.21131683154537 -0.818056131317141 -0.361227337568524 -0.159169949311955
cr stream mud lake or al allo allo allo_D allo_D -3.25966629040342 -0.182199728525283 -0.381726312067197 -0.186455048744982
cr stream pcr lake or or allo para allo_D para_D -5.00428684767702 -0.172305016281047 0.867940215652352 -0.141888737890521
cr stream pl lake or or allo para allo_D para_D -3.51472145245497 0.0338716032770996 -0.853452701388793 -0.357728614343553
cr stream rab marine or al allo allo allo_D allo_D -2.55098010834337 -0.330369009965187 -0.796452361062016 -0.00300155529639934
cr stream rb stream or or allo para allo_S para_S -3.94753133574708 -0.0951867705054473 -0.060834523475826 -0.0689679995725059
cr stream res marine or al allo allo allo_D allo_D -4.22628534876462 -0.110860063859574 0.115093264113066 -0.0372888825986082
cr stream roberts lake or bc allo allo allo_D allo_D -5.12796137326816 -0.34835390648495 0.906207626266423 -0.0488502658136676
cr stream roberts stream or bc allo allo allo_S allo_S -4.47452005582331 -0.172937267689608 0.0027207366904613 -0.123850720116532
cr stream sj marine or or allo para allo_D para_D -4.08187960067598 -0.322828871920582 0.162941967560327 -0.157375572734841
cr stream sk marine or ns allo allo allo_D allo_D -3.03679419875869 -0.203442257678516 -0.0633688313012956 -0.0625203502963415
cr stream sr marine or ns allo allo allo_D allo_D -2.70201202582735 -0.219470127683416 -0.456318602457736 -0.0351147107787365
cr stream sr white or ns allo allo allo_D allo_D -2.89709797352398 -0.203550839947369 0.104686391799897 -0.104807145561296
cr stream stl lake or or allo para allo_D para_D -5.446274476781 0.0174082482483149 -0.815119108965426 -0.0641982913013667
cr stream wc stream or or allo para allo_S para_S -3.95154626364609 -0.145630872375075 -0.0407618526307177 -0.11803915622851
cs marine al marine or ns allo allo allo_S allo_S -4.15363996706107 -0.0150914450268866 -0.340169598024168 -0.0542515936309582
cs marine bea lake or al allo allo allo_D allo_D -3.86468950478563 -0.0504634629854496 -0.0293726472253276 -0.129647796899131
cs marine boot lake or bc allo allo allo_D allo_D -5.11671264076139 -0.0998382794016377 0.514499615227045 0.027740621306509
cs marine boot stream or bc allo allo allo_D allo_D -4.84204917564008 -0.233774392053779 0.60630042346132 0.037983268488414
cs marine cl marine or ns allo allo allo_S allo_S -5.63001183960806 -0.0354438561995115 0.799889483094517 0.0375062413386623
cs marine cl white or ns allo allo allo_D allo_D -4.23244081929191 -0.0708345816774408 -0.161971087909113 -0.0494535218447139
cs marine constance lake or sl allo allo allo_D allo_D -5.08462543540167 0.0101098042333246 0.949108073493978 -0.16622457894875
cs marine constance stream or sl allo allo allo_D allo_D -5.1881887938746 -0.053354268456087 1.02124702104369 -0.13827951803225
cs marine cp marine or ns allo allo allo_S allo_S -4.47315823683655 -0.139653422374658 -0.00696149063271309 -0.0222912623528105
cs marine denmark marine or ne allo allo allo_S allo_S -4.04886553413755 -0.0188669604483777 -0.165318836011497 -0.0496359929476338
cs marine geneva lake or sl allo allo allo_D allo_D -4.05628860325337 -0.0337318207394058 -0.551660039724457 -0.0319852605869485
cs marine geneva stream or sl allo allo allo_D allo_D -4.4110801896796 -0.0464584167304792 -0.0587555341220114 -0.0851907725660118
cs marine hadsten lake or ne allo allo allo_D allo_D -5.14816638585242 -0.0124495495516773 0.954378182558921 -0.145494010191089
cs marine hald lake or ne allo allo allo_D allo_D -4.83222303074487 0.0142857172432301 0.752380930303083 -0.160625355405265
cs marine japan japansea or jp allo allo allo_D allo_D -3.11773635963725 -0.67624177116923 -0.683860500373529 -0.170264418303495
cs marine japan marine or jp allo allo allo_S allo_S -3.51067289637921 -0.112484906241861 -0.155308915360409 -0.0451621926295793
cs marine joes lake or bc allo allo allo_D allo_D -3.87067614286288 -0.391956220612307 -0.0013894781649924 -0.000976126251605155
cs marine joes stream or bc allo allo allo_D allo_D -5.02033593302438 -0.185006968352264 1.2060205281144 -0.0909880988894985
cs marine litcampbell marine or bc allo allo allo_S allo_S -2.49581493075028 -0.106445720523557 -1.70660066888395 -0.300030664067285
cs marine ln marine or ns allo allo allo_S allo_S -4.01461020896168 -0.0378637832946365 -0.543524484760238 -0.031607317886935
cs marine mariager marine or ne allo allo allo_S allo_S -4.76146060018165 0.00117153154609104 0.665108501371089 -0.101486132533847
cs marine mh marine or ns allo allo allo_S allo_S -6.01993362048746 0.0130832843452869 0.682551327584721 0.0179015490706235
cs marine mh white or ns allo allo allo_D allo_D -6.82296859118133 -0.00801672207301131 1.2583967222883 0.093833335086328
cs marine misty lake or bc allo allo allo_D allo_D -5.08451737350079 -0.441546763451848 1.39985225493005 0.0172282817504458
cs marine misty stream or bc allo allo allo_D allo_D -5.36580317711325 -0.443504704470219 1.64521114181727 0.0268210279406975
cs marine ms marine or or allo para allo_S para_S -5.6939370431441 -0.104896317067616 0.719881048748844 0.00514184226840495
cs marine mud lake or al allo allo allo_D allo_D -4.5367028852017 -0.0322424435644883 0.568214500123722 -0.0790224999102546
cs marine pcr lake or or allo para allo_D para_D -3.40646266898609 -0.749173771912986 0.615750621282406 -0.121781903214912
cs marine pl lake or or allo para allo_D para_D -3.99579615021181 -0.51917767883571 0.639264731037083 -0.180909394755792
cs marine rab marine or al allo allo allo_S allo_S -4.07962279317843 0.035697007353278 -0.404944290889038 -0.0693032500671278
cs marine rb stream or or allo para allo_D para_D -3.29082551238221 -0.761775389508882 -0.447890403378817 -0.00200219588753353
cs marine res marine or al allo allo allo_S allo_S -4.43699052912767 0.0369703390616663 0.507131704137353 -0.176265096342015
cs marine roberts lake or bc allo allo allo_D allo_D -3.89755096158122 -0.12455232213494 -0.0817855687714962 -0.0412609695721009
cs marine roberts stream or bc allo allo allo_D allo_D -4.58463182795721 -0.192137394891852 0.616890719957543 -0.0157803263237613
cs marine sj marine or or para para para_S para_S -5.41243555439538 0.0140401488400893 -0.429021577754522 0.0309411452539969
cs marine sk marine or ns allo allo allo_S allo_S -5.04737289643454 0.00556399191813256 0.204296210825227 -0.00267743161183748
cs marine sr marine or ns allo allo allo_S allo_S -5.27861402941593 -0.060009184391178 1.05551390486134 -0.0838372116455798
cs marine sr white or ns allo allo allo_D allo_D -3.53214011154711 -0.0956254998632901 -0.50323518996084 -0.0979268878320957
cs marine stl lake or or allo para allo_D para_D -3.50998519754944 -0.64138025841391 0.33923811459516 -0.153097995421845
cs marine wc stream or or allo para allo_D para_D -2.52940288965195 -0.422054957869381 -0.933315132906075 -0.25780902013315
denmark marine al marine ne ns allo allo allo_S allo_S -3.60254600198379 -0.0605665013878538 -1.20497007250584 0.0484941795536928
denmark marine boot lake ne bc allo allo allo_D allo_D -5.32552272831601 -0.0556173258295062 1.11955767907171 -0.0246816709279015
denmark marine boot stream ne bc allo allo allo_D allo_D -5.17807145687985 0.022123239006664 0.596939252309455 -0.0375697218889014
denmark marine cl marine ne ns allo allo allo_S allo_S -4.25694408155402 -0.0259502296897186 -0.571316501488135 0.073950503444723
denmark marine cl white ne ns allo allo allo_D allo_D -3.46199112280777 -0.0305062490856833 -1.16919816753009 0.0331468512368226
denmark marine constance lake ne sl allo allo allo_D allo_D -5.13481545335628 -0.0215025389920796 0.710930249124717 0.0205489986892978
denmark marine constance stream ne sl allo allo allo_D allo_D -5.24360748206032 -0.0620481242389343 0.874404203518538 -0.0192328094652366
denmark marine cp marine ne ns allo allo allo_S allo_S -4.60962607193136 -0.0735536013635629 0.0900437190846413 0.0134034541743667
denmark marine geneva lake ne sl allo allo allo_D allo_D -5.47326319798361 -0.0146100291706129 1.03652610642152 -0.0288861821791498
denmark marine geneva stream ne sl allo allo allo_D allo_D -5.28049658476326 -0.0177994365422739 0.862771923194471 -0.0164721619667459
denmark marine joes lake ne bc allo allo allo_D allo_D -4.90976897212422 -0.164375354832808 1.21589534141129 -0.00782260462672084
denmark marine joes stream ne bc allo allo allo_D allo_D -5.35048732637625 -0.157679750975837 1.09177879092547 0.0675059693474287
denmark marine litcampbell marine ne bc allo allo allo_S allo_S -5.64742153390774 0.0215380028775988 -0.0737400732906917 0.116010360474321
denmark marine ln marine ne ns allo allo allo_S allo_S -4.04527911628606 -0.0307554453400106 -0.664718828195886 0.0285681254441722
denmark marine mh marine ne ns allo allo allo_S allo_S -3.33554229896137 0.00754757079820175 -1.35938933960555 -0.017795107529397
denmark marine mh white ne ns allo allo allo_D allo_D -2.40993395933332 0.00173654467545626 -2.14652457570297 -0.0578387901685745
denmark marine misty lake ne bc allo allo allo_D allo_D -4.11367487747656 -0.100144164464643 0.435083404752976 -0.0974724483102603
